GO_ID	Namespace
GO:0000275	Cellular Component
GO:0000276	Cellular Component
GO:0000277	Molecular Function
GO:0000278	Biological Process
GO:0000279	Biological Process
GO:0000280	Biological Process
GO:0000281	Biological Process
GO:0000282	Biological Process
GO:0000284	Biological Process
GO:0000285	Molecular Function
GO:0000286	Molecular Function
GO:0000287	Molecular Function
GO:0000288	Biological Process
GO:0000289	Biological Process
GO:0000290	Biological Process
GO:0000291	Biological Process
GO:0000292	Biological Process
GO:0000293	Molecular Function
GO:0000294	Biological Process
GO:0000295	Molecular Function
GO:0000296	Biological Process
GO:0000297	Molecular Function
GO:0000298	Molecular Function
GO:0000299	Cellular Component
GO:0000300	Cellular Component
GO:0000301	Biological Process
GO:0000302	Biological Process
GO:0000303	Biological Process
GO:0000304	Biological Process
GO:0000305	Biological Process
GO:0000306	Cellular Component
GO:0000307	Cellular Component
GO:0000308	Cellular Component
GO:0000309	Molecular Function
GO:0000310	Molecular Function
GO:0000311	Cellular Component
GO:0000312	Cellular Component
GO:0000313	Cellular Component
GO:0000314	Cellular Component
GO:0000315	Cellular Component
GO:0000316	Biological Process
GO:0000319	Molecular Function
GO:0000320	Biological Process
GO:0000321	Biological Process
GO:0000322	Cellular Component
GO:0000323	Cellular Component
GO:0000324	Cellular Component
GO:0000325	Cellular Component
GO:0000326	Cellular Component
GO:0000327	Cellular Component
GO:0000328	Cellular Component
GO:0000329	Cellular Component
GO:0000330	Cellular Component
GO:0000331	Cellular Component
GO:0000332	Molecular Function
GO:0000333	Cellular Component
GO:0000334	Molecular Function
GO:0000335	Biological Process
GO:0000336	Biological Process
GO:0000337	Biological Process
GO:0000338	Biological Process
GO:0000339	Molecular Function
GO:0000340	Molecular Function
GO:0000341	Molecular Function
GO:0000342	Molecular Function
GO:0000343	Cellular Component
GO:0000344	Cellular Component
GO:0000345	Cellular Component
GO:0000346	Cellular Component
GO:0000347	Cellular Component
GO:0000348	Biological Process
GO:0000349	Biological Process
GO:0000350	Biological Process
GO:0000352	Biological Process
GO:0000353	Biological Process
GO:0000354	Biological Process
GO:0000362	Molecular Function
GO:0000363	Molecular Function
GO:0000364	Molecular Function
GO:0000365	Biological Process
GO:0000366	Biological Process
GO:0000367	Molecular Function
GO:0000372	Biological Process
GO:0000373	Biological Process
GO:0000374	Biological Process
GO:0000375	Biological Process
GO:0000376	Biological Process
GO:0000377	Biological Process
GO:0000378	Biological Process
GO:0000379	Biological Process
GO:0000380	Biological Process
GO:0000381	Biological Process
GO:0000384	Molecular Function
GO:0000386	Molecular Function
GO:0000387	Biological Process
GO:0000388	Biological Process
GO:0000389	Biological Process
GO:0000390	Biological Process
GO:0000393	Biological Process
GO:0000394	Biological Process
GO:0000395	Biological Process
GO:0000398	Biological Process
GO:0000399	Cellular Component
GO:0000400	Molecular Function
GO:0000401	Molecular Function
GO:0000402	Molecular Function
GO:0000403	Molecular Function
GO:0000404	Molecular Function
GO:0000405	Molecular Function
GO:0000406	Molecular Function
GO:0000407	Cellular Component
GO:0000408	Cellular Component
GO:0000409	Biological Process
GO:0000410	Biological Process
GO:0000411	Biological Process
GO:0000412	Biological Process
GO:0000413	Biological Process
GO:0000414	Biological Process
GO:0000415	Biological Process
GO:0000416	Biological Process
GO:0000417	Cellular Component
GO:0000418	Cellular Component
GO:0000419	Cellular Component
GO:0000421	Cellular Component
GO:0000422	Biological Process
GO:0000423	Biological Process
GO:0000424	Biological Process
GO:0000425	Biological Process
GO:0000426	Biological Process
GO:0000427	Cellular Component
GO:0000428	Cellular Component
GO:0000429	Biological Process
GO:0000430	Biological Process
GO:0000431	Biological Process
GO:0000432	Biological Process
GO:0000433	Biological Process
GO:0000434	Biological Process
GO:0000435	Biological Process
GO:0000436	Biological Process
GO:0000437	Biological Process
GO:0000438	Cellular Component
GO:0000439	Cellular Component
