"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000000002",13.8553952736074,-1.73318982370791,0.397019645125329,-4.36550141784744,1.26831479401485e-05,0.000190648209568403
"ENSAMXG00000000004",28.0938923358229,1.36798268507733,0.371410472256973,3.6832097834087,0.000230315466175697,0.00204011246457803
"ENSAMXG00000000008",331.39995133924,-0.363280660574967,0.175174798404369,-2.07381805992652,0.0380962112497092,0.101952966291523
"ENSAMXG00000000010",0.75802632721757,1.58809571757427,1.98016046609491,0.802003547069175,0.422550906426709,0.571628675601224
"ENSAMXG00000000017",67.3851341628495,0.771479347380298,0.253642457074679,3.04160177392208,0.00235322996955444,0.0127703186737761
"ENSAMXG00000000019",8.27798168658782,2.77142523358276,0.748737009816916,3.70146686653094,0.000214356651161148,0.00192822068154028
"ENSAMXG00000000023",380.764467824969,-0.477880380600618,0.203541325241024,-2.34782975906604,0.0188831498094798,0.0608131578074826
"ENSAMXG00000000024",88.3530573607586,0.227681309801587,0.300331314331814,0.758100467505825,0.448390839861804,0.595532290424783
"ENSAMXG00000000029",0.383300752060156,1.91208131602371,2.24148980706427,0.853040379660709,0.393636911993499,NA
"ENSAMXG00000000032",4.97883565121354,4.14384930939084,0.944664294949634,4.38658402942156,1.15144693832365e-05,0.000175909620301587
"ENSAMXG00000000033",856.440133638525,-0.449025149507896,0.210882250880091,-2.12926952189643,0.0332319678892271,0.0921648040744642
"ENSAMXG00000000034",8.60961033967403,0.758385516323537,0.529570142626461,1.43207755739823,0.152121626486748,0.27974786927158
"ENSAMXG00000000035",110.002637631527,-1.02669304340656,0.228589993197301,-4.49141727092316,7.0750782600001e-06,0.000115334494655547
"ENSAMXG00000000036",7.62113354316466,2.36606822303551,0.716628668542319,3.30166560018913,0.000961125806268792,0.00636335343034224
"ENSAMXG00000000037",60.4918542726693,1.06062092844634,0.407414623051614,2.60329617160545,0.00923321521614956,0.0359074628208579
"ENSAMXG00000000039",56.9792770332208,1.33090701959232,0.397799519577579,3.34567276754281,0.000820832046298929,0.0056350713730566
"ENSAMXG00000000040",17.4109925182658,0.0219524832853314,0.334989474359663,0.0655318598511009,0.94775054035236,0.969458108895925
"ENSAMXG00000000041",5.64648589797914,0.694257102863405,0.666847917679145,1.04110260294379,0.297827931638548,0.449302216730002
"ENSAMXG00000000044",75.2550018929302,1.21216432582121,0.345444351656476,3.50900027749372,0.00044979443549705,0.00352854933001937
"ENSAMXG00000000047",82.3593592474931,1.41443001716869,0.332523493383611,4.25362431621322,2.10338077854688e-05,0.000289395324631787
"ENSAMXG00000000049",6.56506984165145,1.48121601079526,0.547414310636362,2.70584086315421,0.00681316865232325,0.0285595452503732
"ENSAMXG00000000053",31.2645460918062,-0.0533463377168311,0.318643207027708,-0.167417150406073,0.867041831545909,0.917218228712715
"ENSAMXG00000000055",200.970777647552,0.578113903096279,0.185884472336763,3.11007098026414,0.00187042390775638,0.0106805247306364
"ENSAMXG00000000057",3.48232033776476,0.764966496686603,0.754249858408466,1.01420833979439,0.310483349980062,0.461950906625873
"ENSAMXG00000000061",134.854363118611,-0.837044619310877,0.163135764813402,-5.130969412307,2.8825375395818e-07,6.84624748420387e-06
"ENSAMXG00000000062",14.5091991644633,1.08759327644802,0.449415533287012,2.42001710197552,0.0155197771794443,0.0528508873720619
"ENSAMXG00000000065",1.17265032632693,1.64374986482608,1.21945545852636,1.34793760061762,0.177678453165915,0.312533428626511
"ENSAMXG00000000066",75.2159464402937,-0.581183579749842,0.222566493864152,-2.61128065442132,0.00902038326271397,0.0353041494066025
"ENSAMXG00000000067",65.3743500280111,1.6448782202028,0.302011028519339,5.44641772940248,5.13943577917178e-08,1.46448726393753e-06
"ENSAMXG00000000068",34.4393969911954,-0.424388380029095,0.315070563792749,-1.34696296258338,0.17799216150696,0.312895875055555
"ENSAMXG00000000070",17.3521624749619,0.701623354188459,0.340842515141456,2.05849717397277,0.0395424322712913,0.104833832760674
"ENSAMXG00000000072",20.6308515636197,1.45278003362886,0.383197783432818,3.79120155814671,0.000149920222546076,0.00145490192597719
"ENSAMXG00000000074",268.079724412717,1.37449079072131,0.478553558498402,2.87217755737554,0.00407653851847396,0.0194157463399337
"ENSAMXG00000000075",46.0301406118098,-1.05578040515052,0.291395051754852,-3.62319263416574,0.000290988942553934,0.00247841571145204
"ENSAMXG00000000077",232.992523698875,-0.361933442724225,0.210883956697297,-1.71626826617136,0.0861129536591244,0.186046909997993
"ENSAMXG00000000079",1.06696160946446,-0.0621711079226286,1.12991695364909,-0.0550227233265648,0.956120360616023,0.974410228879961
"ENSAMXG00000000081",20.0433877955261,-0.988278643732175,0.311489950889471,-3.1727464751595,0.00151004323498738,0.00903906030623202
"ENSAMXG00000000086",67.7761102118945,-0.551168855633362,0.197494716909164,-2.7908030364522,0.00525774566418772,0.0235283106589093
"ENSAMXG00000000087",34.7231440292191,0.420710780541421,0.234175590668906,1.79656120153125,0.0724053084920798,0.163405242190169
"ENSAMXG00000000088",0,NA,NA,NA,NA,NA
"ENSAMXG00000000090",9.65776595887014,1.95715263538908,0.48987220235616,3.99523105409059,6.46311894786328e-05,0.000735587086518439
"ENSAMXG00000000093",81.9193813859039,-0.88597914775247,0.380687781557511,-2.32731175171332,0.0199486787590558,0.063340986940226
"ENSAMXG00000000099",5.39198600442679,0.667645038717251,0.509814689045709,1.30958376261574,0.190336684393933,0.328452977335924
"ENSAMXG00000000100",21.7720699865078,0.822786850065127,0.385926916728664,2.13197580785382,0.0330088353958078,0.0917100538443451
"ENSAMXG00000000103",123.910697575132,-0.438862581356038,0.287095538758667,-1.52862905238297,0.126356429569312,0.244877454604571
"ENSAMXG00000000104",557.57954714758,0.109201110774593,0.267153249661479,0.408758309745309,0.68271703763737,0.788405093575571
"ENSAMXG00000000107",20.8711869217633,6.73670248791928,0.891205547000303,7.55908949466737,4.05900566826352e-14,2.77588234701363e-12
"ENSAMXG00000000110",148.633957155217,-0.463489685817104,0.343434422467827,-1.34957259812978,0.177153118698115,0.311939743731053
"ENSAMXG00000000112",188.774892094058,0.111290275517072,0.154084534047293,0.722267657848867,0.470129933278967,0.615614192070876
"ENSAMXG00000000116",44.9358585276717,1.66013722562124,0.360775930415008,4.60157423393391,4.19309659615529e-06,7.33618375122669e-05
"ENSAMXG00000000117",7.11403540501923,3.12495586939144,0.905701130157495,3.45031684883514,0.000559928956689658,0.00416622979230334
"ENSAMXG00000000120",124.981423111267,-0.881365060217056,0.230647207424556,-3.82126915846291,0.000132766652797435,0.00131701800804009
"ENSAMXG00000000123",35.6522067399765,0.507547398768953,0.474468687600263,1.06971737447205,0.28474654331374,0.435100652239671
"ENSAMXG00000000127",132.838780551534,0.460708586125035,0.334981710191299,1.37532459865327,0.169030833613421,0.301704532369637
"ENSAMXG00000000130",262.447952412089,-0.498735435504104,0.293494861546766,-1.69929869598291,0.0892629181640996,0.19106520971662
"ENSAMXG00000000131",88.8666666857679,0.534318857068316,0.250274238036319,2.13493350838123,0.0327664417720144,0.0911891447136899
"ENSAMXG00000000132",2.19055850498402,4.45349533020543,1.07446683947336,4.14484204313672,3.40048029744198e-05,0.000429950885677656
"ENSAMXG00000000133",68.6545646470105,-0.589853281949705,0.250886397624534,-2.35107717092122,0.0187191511183044,0.0603853637351296
"ENSAMXG00000000135",518.201927407651,0.199289156216426,0.192757502242213,1.03388534245482,0.30118976809372,0.452873356808324
"ENSAMXG00000000139",338.764624119733,0.383492319323872,0.179496957248273,2.13648367751127,0.0326400100106138,0.0909352399672647
