"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000000002",14.6452714200169,2.14276243288359,0.544525450003012,3.93510061443729,8.31618497616074e-05,0.000914825776172638
"ENSAMXG00000000004",33.8360555661969,1.15503528581904,0.367330170216777,3.14440625755681,0.00166424222049875,0.0107090368971224
"ENSAMXG00000000008",325.146622886649,-0.128185501687129,0.247379512016705,-0.518173476219296,0.604337238872125,0.741983723290232
"ENSAMXG00000000010",1.38718371699387,1.03096891491179,1.19026431752695,0.866168043291316,0.38639801530575,0.560829941649163
"ENSAMXG00000000017",67.7850371670217,0.161844244860812,0.287028138111287,0.563861947214601,0.572848088997579,0.718569832128085
"ENSAMXG00000000019",19.4228709137166,2.11952335173765,0.714903619567635,2.96476796833048,0.00302911303461033,0.0173567211961108
"ENSAMXG00000000023",309.812139026487,-0.884106705411369,0.143051647718755,-6.18033220525746,6.39668523217331e-10,2.22589415876697e-08
"ENSAMXG00000000024",189.048021443122,-0.345781534879764,0.473062329138592,-0.730942866470479,0.464814051309283,0.631343620807173
"ENSAMXG00000000029",0.672335495504285,2.06384480235327,1.7094191108802,1.20733691884992,0.22730241818363,0.395616877681417
"ENSAMXG00000000032",7.34531266847893,-5.92420400124594,0.902216106337248,-6.56628047275347,5.1587607761002e-11,2.07272271457607e-09
"ENSAMXG00000000033",844.414447490612,0.382620691214519,0.247467287331103,1.54614654462424,0.122069180013295,0.260111691765162
"ENSAMXG00000000034",9.54568850557357,-0.107247967190002,0.513536388375662,-0.208842001497171,0.83457158175471,0.901247892664271
"ENSAMXG00000000035",120.745650012747,1.53088993947756,0.301340166673241,5.08027176190416,3.76895307595709e-07,8.07080574433889e-06
"ENSAMXG00000000036",7.59880652284993,0.874284227259214,0.778097058905331,1.12361847054043,0.261174916920701,0.433097555160331
"ENSAMXG00000000037",76.1637298362265,0.115510334175639,0.325277878546195,0.355112787540006,0.722505097108284,0.827661744514775
"ENSAMXG00000000039",60.5657261461953,-0.183056120108254,0.407662170629414,-0.449038771062869,0.653403688289352,0.777381908664842
"ENSAMXG00000000040",14.8217206404629,-0.163421899519867,0.358134207989615,-0.456314688388006,0.64816370305393,0.773417361443746
"ENSAMXG00000000041",5.98194588372849,0.533271810215616,0.679392418015584,0.784924582722358,0.432497787930424,0.603102381095101
"ENSAMXG00000000044",91.7859761507858,0.135726433378102,0.321180075668838,0.422586715864801,0.672596820413937,0.791166235270899
"ENSAMXG00000000047",109.208257725407,0.0229157089042448,0.250596103393478,0.0914447934103081,0.927139170826817,0.958872134893276
"ENSAMXG00000000049",5.17694078982089,-0.377156999565074,0.633410156119619,-0.595438825729609,0.55155017921029,0.701859374588556
"ENSAMXG00000000053",33.0146805398123,0.208921670483779,0.309076667492871,0.675954196667394,0.499069726288016,0.659410468952365
"ENSAMXG00000000055",213.63759327622,-0.611841491691772,0.183926302651707,-3.32655788144879,0.000879257568177762,0.0064737276367345
"ENSAMXG00000000057",2.83102839504153,-0.408535512829863,0.736717394224342,-0.554534908545212,0.579212821984454,0.723455345829847
"ENSAMXG00000000061",105.72205236188,-0.229779775212402,0.197518648106673,-1.16333205707395,0.24469480406248,0.414783856339039
"ENSAMXG00000000062",21.1268613750847,0.0565940838660889,0.435975747220766,0.129810165420581,0.89671662012722,0.940685543271048
"ENSAMXG00000000065",0.721291961065857,-0.676628968184752,1.33642502523763,-0.5062977386737,0.612647650246553,0.748258260386785
"ENSAMXG00000000066",63.9521984815295,-0.37548124406796,0.221702650860078,-1.69362541499306,0.0903364854563042,0.211253493476343
"ENSAMXG00000000067",57.3593634330716,0.340129563761738,0.464543375369973,0.732180420161737,0.464058453467684,0.630793633429537
"ENSAMXG00000000068",26.7720140857458,-0.703734980696662,0.317933043044379,-2.21346914418842,0.0268653182474729,0.088342460868097
"ENSAMXG00000000070",12.9091515068988,-1.93102354370457,0.435967982364115,-4.42927834570155,9.45489308529685e-06,0.000140644541925306
"ENSAMXG00000000072",29.7649783913537,0.593674955239141,0.491547547727088,1.20776709798328,0.227136860539758,0.395367600629871
"ENSAMXG00000000074",305.490630967712,0.886873216460215,0.459553679148028,1.92985772218035,0.0536244690864837,0.146336163510134
"ENSAMXG00000000075",19.9618278981021,0.774140606492598,0.444503860029361,1.74158354089763,0.0815813434592572,0.196893191810431
"ENSAMXG00000000077",194.447763151282,0.013688270951644,0.261283016892071,0.0523886746045122,0.958218998082279,0.97616942803677
"ENSAMXG00000000079",1.40595305643397,0.335423481228712,0.981475733411783,0.341754227649339,0.732535858692229,0.834288842765394
"ENSAMXG00000000081",22.5688053544997,0.676024690419746,0.370890526468985,1.82270681555485,0.0683478074931984,0.173609073476097
"ENSAMXG00000000086",58.3355857587999,-0.745037190486841,0.270419595009428,-2.75511539931441,0.00586714378084182,0.028846012773844
"ENSAMXG00000000087",27.5252999510837,-0.860633669127003,0.424387244573552,-2.02794424227292,0.042565939022794,0.123893691574436
"ENSAMXG00000000088",0,NA,NA,NA,NA,NA
"ENSAMXG00000000090",9.37131902029931,-0.219277745219388,0.513403569953811,-0.4271060001377,0.669302122872313,0.788478147727819
"ENSAMXG00000000093",62.0328371000561,1.21796258465114,0.313039903642694,3.8907582403339,9.99314608379894e-05,0.00106218058192525
"ENSAMXG00000000099",4.09211930937392,0.535972658465003,0.78915222704134,0.679175246675095,0.497026829421346,0.65778908705579
"ENSAMXG00000000100",40.1646440863467,1.43511160139064,0.384371128667989,3.73366128294787,0.000188716251735124,0.00183346812223468
"ENSAMXG00000000103",100.127401222626,-0.883082383455829,0.231235536215854,-3.81897349303391,0.000134008160075535,0.00136952276043921
"ENSAMXG00000000104",501.578645445188,-0.238713223394177,0.3386277125879,-0.704942963970241,0.480845731432174,0.644397763987045
"ENSAMXG00000000107",22.012404694316,-6.20553216600852,0.778963368856391,-7.96639792589858,1.63366308845085e-15,1.04375895246816e-13
"ENSAMXG00000000110",128.889550489014,0.755400761168272,0.315947787433584,2.39090378604746,0.0168069566305013,0.0629628122152583
"ENSAMXG00000000112",195.264059985643,0.221743192102792,0.189154667746682,1.17228506567839,0.24108262547553,0.411025087358904
"ENSAMXG00000000116",26.8758930176729,-4.82214254742683,0.5016411921681,-9.61273241255461,7.06488156205808e-22,6.71565814825879e-20
"ENSAMXG00000000117",11.842458656296,1.33031704258634,1.20387448626847,1.10502968354267,0.269146727189335,0.442006255256367
"ENSAMXG00000000120",105.188979175642,0.814154234692482,0.245995886207508,3.30962540570987,0.000934209060681917,0.00679488170295053
"ENSAMXG00000000123",60.1656118511203,1.22936836142178,0.375215034854808,3.27643683547353,0.00105125824424437,0.00747419361003661
"ENSAMXG00000000127",125.118721986517,0.473293948338828,0.330370285951354,1.43261657741374,0.151967441621822,0.301025553145675
"ENSAMXG00000000130",311.684558470845,-0.689630898605821,0.279955175348727,-2.46336184979177,0.0137640927132183,0.0545702557898161
"ENSAMXG00000000131",87.7683470858334,-0.142142709852685,0.198028103638625,-0.717790592551835,0.472886414754538,0.638046040195033
"ENSAMXG00000000132",1.55549706343057,1.07529530880622,1.14578628441503,0.938478076961105,0.347998778194019,0.524905078326062
"ENSAMXG00000000133",77.4310612783295,-0.212754421313427,0.17203387658924,-1.2367007332016,0.216198206407252,0.382332213463448
"ENSAMXG00000000135",577.423533736851,-0.306699241775323,0.183577499893805,-1.6706799142201,0.0947849182905531,0.218176053677163
"ENSAMXG00000000139",296.746771121282,0.414305002390184,0.173726869039117,2.38480670653713,0.0170880971906369,0.0637606613540537
"ENSAMXG00000000141",2.36892150789167,-3.2438217443085,1.02273703051653,-3.17170655556514,0.00151546053316191,0.00996555936655175
"ENSAMXG00000000142",77.6623429637804,0.600323209278709,0.321200939210333,1.86899580914861,0.0616233974407801,0.161214364566441
"ENSAMXG00000000144",32.1354102778519,-0.416203386193765,0.283173938852036,-1.4697799800399,0.141621352973411,0.28699832896527
"ENSAMXG00000000146",51.5206201928366,0.406091489914493,0.242594241239739,1.67395354415351,0.0941397297739849,0.217139814661162
"ENSAMXG00000000149",128.728637234747,-0.40166693573184,0.188653724108104,-2.12912274926348,0.0332441060616605,0.103567835884075
"ENSAMXG00000000152",111.198823986875,-1.17431007730817,0.175356698729924,-6.69669357266351,2.13187997733591e-11,9.03113793297517e-10
"ENSAMXG00000000155",49.4327915590446,0.783515149821545,0.228958553115938,3.42208290172413,0.000621433627163147,0.00488621517739846
"ENSAMXG00000000157",32.2946518791967,0.151730277635382,0.338394185466692,0.448383229239371,0.65387664315258,0.777654939654151
"ENSAMXG00000000159",94.1266900616233,-0.291265349225142,0.31828315553184,-0.91511392972854,0.360131822938332,0.536119893002357
"ENSAMXG00000000160",46.0731363061784,-0.228733380189782,0.316103438330466,-0.72360294907851,0.469309530361797,0.635323678236762
"ENSAMXG00000000161",427.447263230262,-0.0302035751194069,0.201490658801411,-0.149900622188026,0.880843020829316,0.931219006242268
"ENSAMXG00000000162",143.09013036028,-0.604610076722009,0.207827035560307,-2.90919838745698,0.00362356838705048,0.0200570026042398
"ENSAMXG00000000164",30.5761871162336,-0.179361001172302,0.318830151167673,-0.562559721893979,0.573734725632497,0.719213724894945
"ENSAMXG00000000165",123.066315106593,-0.342061382483665,0.163822145160712,-2.08800453777539,0.0367974253527325,0.111691458261721
"ENSAMXG00000000173",1688.34120079539,-0.361060245851492,0.338528366963569,-1.06655831855399,0.286171330841432,0.461123925054854
"ENSAMXG00000000175",475.715501711065,-0.139541217405803,0.249661294090566,-0.558922110510183,0.576214878838353,0.72116295904282
"ENSAMXG00000000178",43.5603087406317,-0.215921375256316,0.394939275917909,-0.546720441400711,0.584570808390714,0.727648450090943
"ENSAMXG00000000179",902.952765352189,-0.166594592854189,0.193522250118357,-0.860854980511547,0.389317919326853,0.563513681323827
"ENSAMXG00000000180",36.9729680484763,-0.314366732132086,0.420550463718166,-0.747512508612429,0.454754255105472,0.622816768266743
"ENSAMXG00000000183",16.5418691952116,0.0906322950339502,0.348164227810282,0.26031478191762,0.794620971235401,0.875119709479047
"ENSAMXG00000000184",1.58393365647787,1.2889502588937,1.14328795892958,1.12740648480239,0.259570658545107,0.431400162005599
"ENSAMXG00000000186",24.9559193938348,0.226116826631043,0.45295558788674,0.499203084536363,0.617636321807443,0.751936770855146
"ENSAMXG00000000187",44.5663893224341,0.710767274794215,0.236256614071787,3.0084545043816,0.00262580113907273,0.0155054883424436
"ENSAMXG00000000188",80.6505098343241,-0.0817197771915626,0.224217191355122,-0.364467045089921,0.715509278184172,0.82327751616684
"ENSAMXG00000000189",9.10147439412056,0.924871616189126,0.482070311166564,1.91854091564159,0.055042459240203,0.149092188911492
"ENSAMXG00000000190",74.6581395860437,1.0491625220486,0.266754649498478,3.93306180050139,8.38706632819137e-05,0.000920766004781348
"ENSAMXG00000000191",65.1832154776214,-0.350929505849589,0.280100719832279,-1.25286898962531,0.210253389114963,0.375820952728111
"ENSAMXG00000000192",193.45793158995,-0.21664750388043,0.352260080774938,-0.615021444961424,0.538540558185648,0.692318380519797
"ENSAMXG00000000193",26.8970690773071,-0.764876927665539,0.326060113705733,-2.34581568095702,0.0189854936188328,0.0688839073363515
"ENSAMXG00000000196",28178.2444428754,-0.251737911824404,0.360591544366586,-0.698124833366811,0.48509912898344,0.648018168074766
"ENSAMXG00000000197",13.5426666596549,-0.0956006679318457,0.49683918391382,-0.19241772997604,0.847415005377518,0.910241271738534
"ENSAMXG00000000198",642.282446100754,0.512603719568683,0.26029482336196,1.9693196850706,0.0489163920719871,0.136956526845228
"ENSAMXG00000000199",40.9712672197069,1.15981914925513,0.544874655660807,2.12859808619386,0.0332875269938439,0.103675483647316
"ENSAMXG00000000202",34.6655592485338,-0.380147315200107,0.248861475904423,-1.52754585183809,0.126625334657992,0.266575926706593
"ENSAMXG00000000204",56.4189200790069,0.134608620819622,0.265010548437343,0.507936841055396,0.611497637121817,0.74743602817494
"ENSAMXG00000000206",58.5846817680498,1.2867687211832,0.389597446625367,3.30281610500529,0.000957191368606629,0.00691472442492969
"ENSAMXG00000000207",25.2590652118502,0.618938996804441,0.504743753126729,1.2262439960283,0.220106869456748,0.386729208458682
"ENSAMXG00000000210",112.021241835435,-0.463118155609321,0.189361343017541,-2.44568478565566,0.0144577340177309,0.0566962354973368
"ENSAMXG00000000211",31.7685850651605,-0.105283280181861,0.283988174384577,-0.370731212347195,0.710837740279391,0.820388250544212
"ENSAMXG00000000214",9.90245816322529,-3.19533598681662,0.728727279120498,-4.38481730870989,1.16083159819256e-05,0.000168514864220339
"ENSAMXG00000000215",28.3309378837455,0.261625339609377,0.379957932940875,0.688563961763862,0.491097706361827,0.653311064555775
"ENSAMXG00000000217",24.1099589341523,1.13491094311043,0.330908192580277,3.42968523765125,0.000604281803379028,0.00477866949280189
"ENSAMXG00000000221",358.511366636488,0.902595719660523,0.188679375593453,4.78375401032354,1.72051224892166e-06,3.14070713729774e-05
"ENSAMXG00000000228",489.212273993814,-0.423349413741819,0.293777220084662,-1.44105595940971,0.149568874184637,0.29766115352626
"ENSAMXG00000000229",83.3207485775158,-1.58312700866465,0.280632547460029,-5.641280824314,1.68789803368406e-08,4.69878662138907e-07
"ENSAMXG00000000230",72.3186178577616,0.446450886272003,0.245368305307587,1.81951326481366,0.0688331609508953,0.174481803325283
"ENSAMXG00000000233",88.2792670467961,0.572259207220036,0.276799054626901,2.06741749169406,0.0386948314399206,0.115856586221652
"ENSAMXG00000000234",65.4584542925805,0.889318616497604,0.339841307041463,2.61686439544296,0.00887415879263236,0.0395564866959427
"ENSAMXG00000000237",221.694441110946,-0.211282246875773,0.211890409485018,-0.997129824748922,0.318701497962253,0.495743752301558
"ENSAMXG00000000239",56.8301784328501,0.236209503660094,0.353602410266431,0.668008748815134,0.504128007895414,0.663544373332565
"ENSAMXG00000000242",9.53952616009272,-0.842880424373291,0.514028401351954,-1.63975457806693,0.101056205884347,0.228120312617006
"ENSAMXG00000000247",81.0968913909406,-0.222618646565473,0.284690430302537,-0.78196743855738,0.434233709913006,0.60462790714575
"ENSAMXG00000000252",27.9152392019399,0.506006525415772,0.264961070903683,1.90973913145042,0.0561668099042067,0.15111184987447
"ENSAMXG00000000253",147.965513256486,0.286895688073532,0.281409032311359,1.01949708478476,0.307967036455072,0.48449281354046
"ENSAMXG00000000254",1.37766394277597,0.503908093113469,1.05065677989883,0.479612469794361,0.631502977843905,0.761088349587408
"ENSAMXG00000000255",275.513769342206,-0.276148493919258,0.264291406332387,-1.04486368948357,0.29608597381527,0.472025798452159
"ENSAMXG00000000257",10.2300871127223,-0.666549884069724,0.395633933543999,-1.68476419122829,0.0920340762184363,0.213971449422541
