"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSAMXG00000000002",12.6367964039633,-1.90385108470477,0.469363651593661,-4.05623886349208,4.98692603044035e-05,0.000723790834943699
"ENSAMXG00000000004",25.5032141367054,-0.581413138991505,0.366772127242822,-1.58521625774082,0.112917207911056,0.3023771854383
"ENSAMXG00000000008",326.536478653232,0.0415381611003647,0.208147637200831,0.19956105031491,0.841823892314938,0.921702380893185
"ENSAMXG00000000010",0.450235284852364,2.38793378203233,1.78121084076471,1.34062387640037,0.180042601174756,0.401852052441022
"ENSAMXG00000000017",58.9345153419008,0.182680568132071,0.276527756280812,0.660622899447967,0.508854179752363,0.720994972142797
"ENSAMXG00000000019",6.1903744980251,0.433986789556779,0.54697679842627,0.793428150527445,0.427528415009709,0.657493967861559
"ENSAMXG00000000023",351.467852511521,0.338560782772227,0.162913803893129,2.07815896923211,0.0376947198100733,0.144720019293996
"ENSAMXG00000000024",137.622522127848,1.59020852184813,0.391557006036761,4.06124395000313,4.88119334670992e-05,0.000711115058355799
"ENSAMXG00000000029",0.224776161197786,0.0596355497180316,2.80423711681086,0.0212662293643173,0.983033282806767,NA
"ENSAMXG00000000032",7.27217296019642,5.37292544698008,0.904777627992956,5.93839334743355,2.87828799061883e-09,1.00840080613931e-07
"ENSAMXG00000000033",840.010613764662,-0.435028415351413,0.15007222833755,-2.89879360205758,0.00374601399587268,0.0257655108559534
"ENSAMXG00000000034",7.20649215379335,1.04090506791902,0.522179678178713,1.99338486620075,0.0462193197664819,0.167337602769906
"ENSAMXG00000000035",92.5401790068033,-1.04217959141855,0.291571523011996,-3.57435314893791,0.000351094796351843,0.00376626649405902
"ENSAMXG00000000036",3.80550873585574,1.15033220115211,0.841059336573848,1.3677182466556,0.171400286199944,0.390074248306732
"ENSAMXG00000000037",58.7016690680402,0.64756986805838,0.24164232687467,2.67986936077738,0.00736508978388897,0.0435425622932329
"ENSAMXG00000000039",49.9537716748755,0.778636161130258,0.366733586272098,2.12316567196698,0.0337399714542134,0.134063929747742
"ENSAMXG00000000040",14.1169192453242,0.181877488506421,0.399096910608229,0.455722616918375,0.648589456103922,0.816714040022446
"ENSAMXG00000000041",4.38068236466578,0.287875340627466,0.695181387364495,0.414101047381075,0.678800105785099,0.834019281268573
"ENSAMXG00000000044",79.2544565087952,0.234505636709081,0.242993152199269,0.965070968406438,0.334509266882198,0.576737542878294
"ENSAMXG00000000047",73.9681192285005,1.3231064384775,0.270424669056313,4.89269874340485,9.94625933649472e-07,2.20729100009669e-05
"ENSAMXG00000000049",4.24756047877909,1.08383938234467,0.680733514366423,1.59216398116292,0.111347864055913,0.299618506236627
"ENSAMXG00000000053",26.2611203951657,0.40975722983591,0.384562408649578,1.0655155590345,0.286642688487029,0.530846478677041
"ENSAMXG00000000055",213.730817477075,0.516276219894283,0.143627481527038,3.59455039108998,0.000324952249834048,0.0035499847057942
"ENSAMXG00000000057",2.81901235003257,0.374832912726972,0.717517217022608,0.522402673879199,0.601389994685014,0.786735751973012
"ENSAMXG00000000061",141.105906824266,-0.619206608757805,0.195555855120077,-3.16639258066496,0.00154342339054465,0.0127480835815178
"ENSAMXG00000000062",16.8038491977522,0.614928954309254,0.380915532265973,1.61434465707185,0.106452688752814,0.291906682012032
"ENSAMXG00000000065",0.942364495896391,-0.173905439511531,1.26928717191908,-0.137010318357348,0.891022639159104,0.947473645173596
"ENSAMXG00000000066",83.7396209642894,-0.470378664464159,0.200045283165422,-2.35136093698942,0.0187048799209095,0.0879785601309376
"ENSAMXG00000000067",36.2655670849172,1.11022722850263,0.355063964261162,3.12683724695312,0.00176697715465676,0.0142148807311669
"ENSAMXG00000000068",31.3299496642594,0.0886990987076734,0.287622625122769,0.308387070279374,0.757787819295572,0.879340215786372
"ENSAMXG00000000070",15.460524475985,0.88819511074365,0.367572968431382,2.41637766382556,0.0156757928767191,0.0774044420246426
"ENSAMXG00000000072",15.3539488130038,1.60219787462764,0.508089033894327,3.15338015140249,0.00161391483796211,0.0132033604362805
"ENSAMXG00000000074",160.008360940888,0.924653385375432,0.427892907340991,2.16094581029961,0.0306995256324925,0.125288421255393
"ENSAMXG00000000075",31.7105465348393,-1.76357572359721,0.384991246071252,-4.58082032148548,4.63155637687709e-06,8.69091319165941e-05
"ENSAMXG00000000077",212.343740507943,-0.324608404221574,0.242838057511126,-1.33672788997129,0.181311474664199,0.403486367733029
"ENSAMXG00000000079",1.22909533156717,-0.0902453560516483,1.15314026657425,-0.0782605192686137,0.937620822162019,0.970987999585536
"ENSAMXG00000000081",29.893779729825,-1.35036969208358,0.339577148910052,-3.97662120792843,6.99013772316045e-05,0.000968472307128198
"ENSAMXG00000000086",66.5199010952303,0.203663939476319,0.263946605084398,0.771610377073031,0.440345226322065,0.667696088960039
"ENSAMXG00000000087",31.1050786428162,0.353893401965837,0.316302050391274,1.11884637335756,0.263205684193646,0.504589968052838
"ENSAMXG00000000088",0,NA,NA,NA,NA,NA
"ENSAMXG00000000090",7.15683504700022,1.09326045300159,0.682991357179874,1.60069441803151,0.109444618105009,0.29670941294091
"ENSAMXG00000000093",46.3786859423101,-0.633830545210825,0.37390204907815,-1.69517804669304,0.0900416501656448,0.261893151779759
"ENSAMXG00000000099",3.36008364094546,-0.0602059137579178,0.797474391199222,-0.0754957330571853,0.93982029237707,0.971920098145155
"ENSAMXG00000000100",18.9912932023866,0.332661211866418,0.388046987739933,0.857270439860663,0.391295441181102,0.626821340509776
"ENSAMXG00000000103",128.408319954687,-0.0317532616941451,0.178470402403189,-0.1779189225024,0.858786649931506,0.930302232009967
"ENSAMXG00000000104",490.375843814092,0.230376068362938,0.184421080510486,1.24918511335714,0.211597375560187,0.442566617573612
"ENSAMXG00000000107",21.9366508456972,5.0801307588409,0.58558450131979,8.67531628209303,4.12402676347464e-18,3.4405954217722e-16
"ENSAMXG00000000110",127.288476594029,-0.781984266058569,0.26971242252936,-2.89932609972181,0.00373965727132495,0.025744640725436
"ENSAMXG00000000112",179.863268874327,-0.0610361348368406,0.164170664346447,-0.371784661284169,0.710053184915528,0.852719179621126
"ENSAMXG00000000116",34.2209251812534,1.52270216233849,0.408158643858826,3.73066253832705,0.000190976887868035,0.00226912241819843
"ENSAMXG00000000117",4.42305346585357,1.55258076091544,0.776505211442776,1.9994466721359,0.0455600463788835,0.165648872184581
"ENSAMXG00000000120",107.90431591121,-0.935270109806,0.215275673727299,-4.3445229719302,1.39578637562531e-05,0.000234583140651289
"ENSAMXG00000000123",35.9107558844455,-0.0595485497903182,0.384708855224872,-0.154788612171432,0.876987969174358,0.940099000233911
"ENSAMXG00000000127",124.233778726855,-0.518461961232723,0.301282290924972,-1.72085109828721,0.0852778472790502,0.252553526375986
"ENSAMXG00000000130",353.928151140887,0.169258221159704,0.232714491438195,0.727321363245038,0.467029114133646,0.688827106143189
"ENSAMXG00000000131",82.6765157514544,0.265035049706213,0.182949302444366,1.44868029648164,0.147426885465545,0.356911253123149
"ENSAMXG00000000132",0.539489944098933,1.9493765085324,1.76629856092455,1.10365062377225,0.269744722132356,0.512062944674643
"ENSAMXG00000000133",80.7129672302245,0.00685885888247328,0.176489370544823,0.0388627307202694,0.968999830684459,0.985916844839652
"ENSAMXG00000000135",531.941078666633,0.5055353019891,0.180203827683524,2.80535274132426,0.0050261541890774,0.0324892960165195
"ENSAMXG00000000139",272.862442712302,-0.261616520438618,0.170753155749779,-1.53213285745647,0.125489653014717,0.324070985677578
"ENSAMXG00000000141",2.22436203303002,3.63459322857294,1.0841459911773,3.35249427489564,0.000800868977923372,0.0074636453156898
"ENSAMXG00000000142",60.3188232618008,0.00533090018111907,0.30389627795313,0.0175418409762204,0.986004353701843,0.993414377732704
"ENSAMXG00000000144",39.0215590365794,-0.249163615446667,0.265719094325739,-0.937695561844807,0.348400885283186,0.589427509838276
"ENSAMXG00000000146",46.1458906868109,-0.184612301834445,0.2989985518278,-0.617435438084554,0.53694755341671,0.740743479040023
"ENSAMXG00000000149",141.992946630334,0.0169746184838407,0.162686125978803,0.104339680975945,0.916899788885118,0.961159629541809
"ENSAMXG00000000152",139.082603106828,0.231782086481595,0.201829491977515,1.14840543971352,0.250801229116058,0.489962340539818
"ENSAMXG00000000155",31.5291583107264,0.337180745191212,0.277761000213921,1.21392400276327,0.224776746143918,0.45814800912854
"ENSAMXG00000000157",39.4388336163921,-0.700942162755534,0.211486817546708,-3.31435391995876,0.000918551616172476,0.00833472058909139
